f1	context_size	num_boost_round	num_leaves	bagging_fraction	lambda_l1	lambda_l2	feature_fraction	bagging_freq	min_data_in_leaf	feature_pre_filter	boosting_type	objective	metric	learning_rate	seed	num_class	verbose	deterministic	resume_training	early_stopping_rounds
0.783	1	533	220	0.6281478423422934	0.0622352262167771	0.0001013891321503194	0.8622696457138936	6	13	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.791	1	347	171	0.5571196359192471	2.203573493761806e-07	4.514096602058923	0.7707038993092291	1	86	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.893	1	407	441	0.33593519527727833	1.4874645342246766e-07	2.5163044820723615	0.8216574761611323	2	13	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.902	1	655	285	0.4743635100719584	2.854424631379672e-07	0.06488590091028182	0.6353210070582335	9	10	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.903	1	506	411	0.9468805608935917	3.3724437061671645e-06	0.11009790987455033	0.6390567830606175	7	32	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	594	298	0.7031599593692921	4.875450903145782e-06	0.00013940418463072706	0.27082475122265026	6	84	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.903	1	305	395	0.7756591176392751	1.041126814843372e-06	9.254914163174648e-05	0.563980983865232	7	58	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	317	476	0.6429081314774809	3.398681480712261e-06	1.3898009310899158e-07	0.11247948392707884	6	74	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.902	1	341	463	0.27456730322813283	7.082746637392185e-07	1.5940305874616834	0.48666400903104423	2	72	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.903	1	672	100	0.7112047468012869	0.3782061608572653	0.00030805277568667284	0.7619101322890849	3	85	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	303	448	0.6175933004920294	2.253706855305396e-05	0.9562638087723592	0.36255053678172167	2	65	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	456	163	0.6553342798834532	1.2018150820086096e-06	0.0003085801788286707	0.4246824316558736	10	51	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.894	1	408	390	0.11363891615730853	6.711983319568498e-07	1.7851096275597865e-05	0.9495796963148807	8	96	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	546	498	0.42872973395643843	1.4059264532166765e-08	3.919304661130811e-08	0.10337470888791507	5	40	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.903	1	545	499	0.44665048968375864	2.0765195452577092e-08	3.184320709970433e-08	0.14433854618372977	4	38	False	gbdt	multiclass	multi_logloss	0.1	22	2	-1	False	False	10
0.904	1	395	346	0.44616365733451324	2.611443895593077e-08	1.5445370285668564e-08	0.10361217784710423	5	37